"Date","FCP.LYS1_1","FCP.LYS1_2","FCP.LYS1_3","FCP.LYS1_4","FCP.LYS1_5","FCP.LYS1_6","FCP.LYS1_SWP"
"2025-05-08",0.364996527777778,0.275197916666667,0.297479166666667,0.303840277777778,0.323,0.34,-17.5194444444444
"2025-05-09",0.362630434782609,0.27504347826087,0.298,0.304,0.323,0.340076086956522,-17.8351449275362
"2025-05-10",0.359277777777778,0.274270833333333,0.298527777777778,0.304951388888889,0.323215277777778,0.341,-18.3354166666667
"2025-05-11",0.358559027777778,0.274631944444444,0.299444444444444,0.305059027777778,0.324,0.341024305555556,-18.5333333333333
"2025-05-12",0.355701388888889,0.273569444444444,0.3,0.305940972222222,0.324927083333333,0.341972222222222,-18.9097222222222
"2025-05-13",0.3525625,0.271979166666667,0.299430555555556,0.306517361111111,0.325194444444444,0.342,-19.1184027777778
"2025-05-14",0.359940972222222,0.271440972222222,0.29859375,0.306788194444444,0.326,0.342121527777778,-19.2951388888889
"2025-05-15",0.388288194444444,0.277961805555556,0.298482638888889,0.306677083333333,0.326,0.342784722222222,-19.3618055555556
"2025-05-16",0.3949375,0.287663194444444,0.301315972222222,0.308430555555556,0.326763888888889,0.343392361111111,-18.7736111111111
"2025-05-17",0.411625,0.300416666666667,0.310881944444444,0.313583333333333,0.330010416666667,0.345895833333333,-16.5583333333333
"2025-05-18",0.420854166666667,0.310895833333333,0.32075,0.319850694444444,0.333944444444444,0.349184027777778,-12.8277777777778
"2025-05-19",0.416809027777778,0.314295138888889,0.329260416666667,0.327197916666667,0.339569444444444,0.355427083333333,-3.86145833333333
"2025-05-20",0.408079861111111,0.306888888888889,0.32575,0.326684027777778,0.341486111111111,0.36,-0.444097222222222
"2025-05-21",0.4008125,0.301767361111111,0.321486111111111,0.324003472222222,0.340184027777778,0.35990625,-1.35243055555556
"2025-05-22",0.415708333333333,0.315263888888889,0.332177083333333,0.328944444444444,0.343340277777778,0.363607638888889,-1.17881944444444
"2025-05-23",0.41434375,0.313298611111111,0.332725694444444,0.331079861111111,0.345625,0.366572916666667,-0.109027777777778
"2025-05-24",0.418329861111111,0.314934027777778,0.3334375,0.331097222222222,0.3455,0.366680555555556,-0.107291666666667
"2025-05-25",0.413236111111111,0.310010416666667,0.329097222222222,0.328298611111111,0.344277777777778,0.365291666666667,-0.273958333333333
"2025-05-26",0.418493055555556,0.315045138888889,0.332708333333333,0.329503472222222,0.34478125,0.365,-0.329513888888889
"2025-05-27",0.425654545454545,0.320572727272727,0.336781818181818,0.331836363636364,0.346272727272727,0.366390909090909,-0.418181818181818
"2025-05-28",0.421142361111111,0.318663194444444,0.335538194444444,0.33203125,0.34703125,0.367,-0.422916666666667
"2025-05-29",0.42409375,0.322003472222222,0.339225694444444,0.334746527777778,0.348895833333333,0.368798611111111,-0.319791666666667
"2025-05-30",0.427041666666667,0.322086805555556,0.339208333333333,0.335211805555556,0.349673611111111,0.369576388888889,-0.430555555555556
"2025-05-31",0.417163194444444,0.3185625,0.337631944444444,0.335270833333333,0.350010416666667,0.37,-0.565972222222222
"2025-06-01",0.408875,0.313958333333333,0.334496527777778,0.333795138888889,0.35,0.37,-2.29097222222222
"2025-06-02",0.414572916666667,0.321166666666667,0.341385416666667,0.338565972222222,0.354135416666667,0.374597222222222,-3.240625
"2025-06-03",0.413027777777778,0.31896875,0.340173611111111,0.340222222222222,0.355902777777778,0.377152777777778,-0.149305555555556
"2025-06-04",0.404986111111111,0.312118055555556,0.334222222222222,0.336298611111111,0.353322916666667,0.374548611111111,-0.717708333333333
"2025-06-05",0.398788194444444,0.307434027777778,0.330298611111111,0.333465277777778,0.351315972222222,0.372711805555556,-3.65520833333333
"2025-06-06",0.406329861111111,0.314722222222222,0.335604166666667,0.337871527777778,0.354472222222222,0.376368055555556,-4.72708333333333
"2025-06-07",0.411743055555556,0.317069444444444,0.338305555555556,0.340003472222222,0.356055555555556,0.378819444444444,-0.128125
"2025-06-08",0.404871527777778,0.312038194444444,0.333541666666667,0.335552083333333,0.353048611111111,0.375399305555556,-0.682986111111111
"2025-06-09",0.403743055555556,0.312871527777778,0.333590277777778,0.33546875,0.352548611111111,0.374239583333333,-3.7625
"2025-06-10",0.421427083333333,0.325222222222222,0.344451388888889,0.344229166666667,0.358434027777778,0.380618055555556,-0.289583333333333
"2025-06-11",0.409815972222222,0.318173611111111,0.338739583333333,0.339357638888889,0.355972222222222,0.377510416666667,-0.894791666666667
"2025-06-12",0.427152777777778,0.329802083333333,0.347541666666667,0.346329861111111,0.3601875,0.381673611111111,-0.325
"2025-06-13",0.419013888888889,0.323006944444444,0.343197916666667,0.343329861111111,0.359003472222222,0.380486111111111,-0.194791666666667
"2025-06-14",0.412315972222222,0.318184027777778,0.339260416666667,0.340489583333333,0.357392361111111,0.378888888888889,-0.980902777777778
"2025-06-15",0.418756944444444,0.323826388888889,0.342815972222222,0.342694444444444,0.358604166666667,0.380201388888889,-2.02881944444444
"2025-06-16",0.417480769230769,0.321557692307692,0.342375,0.343298076923077,0.360528846153846,0.383,-0.327884615384615
"2025-06-17",0.416270833333333,0.320055555555556,0.340513888888889,0.341635416666667,0.359590277777778,0.381989583333333,-0.705902777777778
"2025-06-18",0.407788194444444,0.315833333333333,0.337305555555556,0.339385416666667,0.357809027777778,0.380295138888889,-3.05798611111111
"2025-06-19",0.399003472222222,0.311263888888889,0.334534722222222,0.337420138888889,0.356628472222222,0.378642361111111,-8.19722222222222
"2025-06-20",0.391329861111111,0.307753472222222,0.33209375,0.335934027777778,0.355277777777778,0.377069444444444,-10.7732638888889
"2025-06-21",0.397881944444444,0.307513888888889,0.331711805555556,0.335541666666667,0.355215277777778,0.376923611111111,-11.3354166666667
"2025-06-22",0.399100694444444,0.307055555555556,0.33009375,0.335673611111111,0.356,0.379,-11.8430555555556
"2025-06-23",0.399305555555556,0.306399305555556,0.328673611111111,0.334701388888889,0.355229166666667,0.378267361111111,-11.8913194444444
"2025-06-24",0.396520833333333,0.304482638888889,0.326909722222222,0.33303125,0.353885416666667,0.377041666666667,-12.3538194444444
