Date,SWP
6/13/2025,-0.194791667
6/14/2025,-0.980902778
6/15/2025,-2.028819444
6/16/2025,-0.327884615
6/17/2025,-0.705902778
6/18/2025,-3.057986111
6/19/2025,-8.197222222
6/20/2025,-10.77326389
6/21/2025,-11.33541667
6/22/2025,-11.84305556
6/23/2025,-11.89131944
6/24/2025,-12.35381944
6/25/2025,-12.88159722
6/26/2025,-13.39131944
6/27/2025,-13.878125
6/28/2025,-14.52708333
6/29/2025,-15.16527778
6/30/2025,-15.91006944
7/1/2025,-16.23125
7/2/2025,-16.30347222
7/3/2025,-16.41840278
7/4/2025,-16.62430556
7/5/2025,-16.721875
7/6/2025,-16.92777778
7/7/2025,-17.16319444
7/8/2025,-17.503125
7/9/2025,-17.92569444
7/10/2025,-18.43993056
7/11/2025,-18.92708333
7/12/2025,-19.34826389
7/13/2025,-19.69722222
7/14/2025,-19.78611111
7/15/2025,-10.60598291
7/16/2025,-10.95277778
7/17/2025,-11.04895833
7/18/2025,-0.1
7/19/2025,-0.328819444
7/20/2025,-3.006597222
7/21/2025,-8.41875
7/22/2025,-2.943055556
7/23/2025,-0.202083333
7/24/2025,-1.883333333
7/25/2025,-7.662847222
7/26/2025,-10.83611111
7/27/2025,-9.183333333
7/28/2025,-0.1
7/29/2025,-0.461805556
7/30/2025,-4.136111111
7/31/2025,-9.716666667
8/1/2025,-11.25798611
8/2/2025,-12.11805556
8/3/2025,-12.92465278
8/4/2025,-13.64756944
8/5/2025,-14.17708333
8/6/2025,-15.1556338
8/7/2025,-15.26180556
8/8/2025,-14.70555556
8/9/2025,-13.68333333
8/10/2025,-13.515625
8/11/2025,-13.84548611
8/12/2025,-14.33923611
8/13/2025,-14.91145833
8/14/2025,-15.53159722
8/15/2025,-16.24930556
8/16/2025,-16.99375
8/17/2025,-17.45451389
8/18/2025,-17.73923611
8/19/2025,-17.89027778
8/20/2025,-18.14479167
8/21/2025,-18.41701389
8/22/2025,-18.71215278
8/23/2025,-17.60659722
8/24/2025,-15.89166667
8/25/2025,-15.84756944
8/26/2025,-16.00967742
8/27/2025,-16.11770833
8/28/2025,-1.992013889
8/29/2025,-0.184375
8/30/2025,-0.978819444
8/31/2025,-4.588888889
9/1/2025,-8.941319444
9/2/2025,-10.74895833
9/3/2025,-11.521875
9/4/2025,-12.27881944
9/5/2025,-12.96493056
9/6/2025,-13.62743056
9/7/2025,-14.30138889
9/8/2025,-14.97291667
9/9/2025,-15.54027778
9/10/2025,-16.03472222
9/11/2025,-16.51666667
9/12/2025,-16.99201389
9/13/2025,-17.51597222
9/14/2025,-18.09409722
9/15/2025,-18.57881944
9/16/2025,-18.94375
9/17/2025,-19.39791667
9/18/2025,-19.94166667
9/19/2025,-20.35381944
9/20/2025,-20.65833333
9/21/2025,-20.62152778
9/22/2025,-17.26527778
9/23/2025,-15.9027027
9/24/2025,-15.85868056
9/25/2025,-16.04201389
9/26/2025,-16.38680556
9/27/2025,-16.78645833
9/28/2025,-17.17430556
9/29/2025,-17.60034722
9/30/2025,-17.88541667
10/1/2025,-18.18298611
10/2/2025,-18.48229167
10/3/2025,-18.70972222
10/4/2025,-18.96838235
10/5/2025,-19.046875
10/6/2025,-19.20729167
10/7/2025,-19.40972222
10/8/2025,-19.60833333
10/9/2025,-19.83368056
10/10/2025,-20.07118056
10/11/2025,-20.23194444
10/12/2025,-20.26944444
10/13/2025,-20.31666667
10/14/2025,-20.38993056
10/15/2025,-20.48159722
10/16/2025,-20.528125
10/17/2025,-20.63680556
10/18/2025,-20.71284722
10/19/2025,-20.73159722
10/20/2025,-20.81319444
10/21/2025,-20.91527778
10/22/2025,-20.94930556
10/23/2025,-20.97013889
10/24/2025,-21.01493056
10/25/2025,-21.06527778
10/26/2025,-21.05416667
10/27/2025,-21.07604167
10/28/2025,-21.159375
10/29/2025,-21.225
10/30/2025,-21.28854167
10/31/2025,-21.3037037
11/1/2025,-21.35520833
11/2/2025,-21.39305556
11/3/2025,NA
11/4/2025,NA
11/5/2025,NA
11/6/2025,NA
11/7/2025,NA
11/8/2025,NA
11/9/2025,NA
11/10/2025,NA
11/11/2025,NA
11/12/2025,NA
11/13/2025,NA
11/14/2025,NA
11/15/2025,NA
11/16/2025,NA
11/17/2025,NA
11/18/2025,NA
11/19/2025,NA
11/20/2025,NA
11/21/2025,NA
11/22/2025,NA
11/23/2025,NA
11/24/2025,NA
11/25/2025,NA
11/26/2025,NA
11/27/2025,NA
11/28/2025,NA
11/29/2025,NA
