 ******* Program HYDRUS
 ******* 
 None                                                                    
 Date:  16. 1.    Time:  15:28:29
 Units: L = mm   , T = days , M = mmol 



                               Node( 37)

         time            h        theta    Temp  
        137.0000      -15.00  0.3247   20.000
        138.0000      -15.00  0.3247   20.000
        139.0000      -15.00  0.3247   20.000
        140.0000      -15.00  0.3247   20.000
        141.0000      -15.00  0.3247   20.000
        142.0000      -15.00  0.3247   20.000
        143.0000      -15.00  0.3247   20.000
        144.0000      -15.00  0.3247   20.000
        145.0000      -15.00  0.3247   20.000
        146.0000      -15.00  0.3247   20.000
        147.0000      -15.00  0.3247   20.000
        148.0000      -15.00  0.3247   20.000
        149.0000      -15.00  0.3247   20.000
        150.0000      -15.00  0.3247   20.000
        151.0000      -15.00  0.3247   20.000
        152.0000      -15.00  0.3247   20.000
        153.0000      -15.00  0.3247   20.000
        154.0000      -15.00  0.3247   20.000
        155.0000      -15.00  0.3247   20.000
        156.0000      -15.00  0.3247   20.000
        157.0000      -15.00  0.3247   20.000
        158.0000      -15.00  0.3247   20.000
        159.0000      -15.00  0.3247   20.000
        160.0000      -15.00  0.3247   20.000
        161.0000      -15.00  0.3247   20.000
        162.0000      -15.00  0.3247   20.000
        163.0000      -15.00  0.3247   20.000
        164.0000      -15.00  0.3247   20.000
        165.0000      -15.00  0.3247   20.000
        166.0000      -15.00  0.3247   20.000
        167.0000      -15.00  0.3247   20.000
        168.0000      -15.00  0.3247   20.000
        169.0000      -15.00  0.3247   20.000
        170.0000      -15.00  0.3247   20.000
        171.0000      -15.00  0.3247   20.000
        172.0000      -15.00  0.3247   20.000
        173.0000      -15.00  0.3247   20.000
        174.0000      -15.00  0.3247   20.000
        175.0000      -15.00  0.3247   20.000
        176.0000      -15.00  0.3247   20.000
        177.0000      -15.00  0.3247   20.000
        178.0000      -15.00  0.3247   20.000
        179.0000      -15.00  0.3247   20.000
        180.0000      -15.00  0.3247   20.000
        181.0000      -15.00  0.3247   20.000
        182.0000      -15.00  0.3247   20.000
        183.0000      -15.00  0.3247   20.000
        184.0000      -15.00  0.3247   20.000
        185.0000      -15.00  0.3247   20.000
        186.0000      -15.00  0.3247   20.000
        187.0000      -15.00  0.3247   20.000
        188.0000      -15.00  0.3247   20.000
        189.0000      -15.00  0.3247   20.000
        190.0000      -15.00  0.3247   20.000
        191.0000      -15.00  0.3247   20.000
        192.0000      -15.00  0.3247   20.000
        193.0000      -15.00  0.3247   20.000
        194.0000      -15.00  0.3247   20.000
        195.0000      -15.00  0.3247   20.000
        196.0000      -15.00  0.3247   20.000
        197.0000      -15.00  0.3247   20.000
        198.0000      -15.00  0.3247   20.000
        199.0000      -15.00  0.3247   20.000
        200.0000      -15.00  0.3247   20.000
        201.0000      -15.00  0.3247   20.000
        202.0000      -15.00  0.3247   20.000
        203.0000      -15.00  0.3247   20.000
        204.0000      -15.00  0.3247   20.000
        205.0000      -15.00  0.3247   20.000
        206.0000      -15.00  0.3247   20.000
        207.0000      -15.00  0.3247   20.000
        208.0000      -15.00  0.3247   20.000
        209.0000      -15.00  0.3247   20.000
        210.0000      -15.00  0.3247   20.000
        211.0000      -15.00  0.3247   20.000
        212.0000      -15.00  0.3247   20.000
        213.0000      -15.00  0.3247   20.000
        214.0000      -15.00  0.3247   20.000
        215.0000      -15.00  0.3247   20.000
        216.0000      -15.00  0.3247   20.000
        217.0000      -15.00  0.3247   20.000
        218.0000      -15.00  0.3247   20.000
        219.0000      -15.00  0.3247   20.000
        220.0000      -15.00  0.3247   20.000
        221.0000      -15.00  0.3247   20.000
        222.0000      -15.00  0.3247   20.000
        223.0000      -15.00  0.3247   20.000
        224.0000      -15.00  0.3247   20.000
        225.0000      -15.00  0.3247   20.000
        226.0000      -15.00  0.3247   20.000
        227.0000      -15.00  0.3247   20.000
        228.0000      -15.00  0.3247   20.000
        229.0000      -15.00  0.3247   20.000
        230.0000      -15.00  0.3247   20.000
        231.0000      -15.00  0.3247   20.000
        232.0000      -15.00  0.3247   20.000
        233.0000      -15.00  0.3247   20.000
        234.0000      -15.00  0.3247   20.000
        235.0000      -15.00  0.3247   20.000
        236.0000      -15.00  0.3247   20.000
        237.0000      -15.00  0.3247   20.000
        238.0000      -15.00  0.3247   20.000
        239.0000      -15.00  0.3247   20.000
        240.0000      -15.00  0.3247   20.000
        241.0000      -15.00  0.3247   20.000
        242.0000      -15.00  0.3247   20.000
        243.0000      -15.00  0.3247   20.000
        244.0000      -15.00  0.3247   20.000
        245.0000     -191.80  0.1345   20.000
        246.0000     -689.21  0.0869   20.000
        247.0000    -1225.33  0.0751   20.000
        248.0000    -1491.47  0.0721   20.000
        249.0000    -1574.00  0.0713   20.000
        250.0000    -1599.54  0.0712   20.000
        251.0000    -1603.92  0.0711   20.000
        252.0000    -1604.12  0.0711   20.000
        253.0000    -1604.13  0.0711   20.000
        254.0000    -1604.14  0.0711   20.000
        255.0000    -1604.14  0.0711   20.000
        256.0000    -1604.14  0.0711   20.000
        257.0000    -1604.14  0.0711   20.000
        258.0000    -1604.14  0.0711   20.000
        259.0000    -1604.14  0.0711   20.000
        260.0000    -1604.14  0.0711   20.000
        261.0000    -1604.14  0.0711   20.000
        262.0000    -1604.14  0.0711   20.000
        263.0000    -1604.14  0.0711   20.000
        264.0000    -1604.14  0.0711   20.000
        265.0000    -1604.14  0.0711   20.000
        266.0000    -1604.14  0.0711   20.000
        267.0000    -1604.14  0.0711   20.000
        268.0000    -1604.14  0.0711   20.000
        269.0000    -1604.14  0.0711   20.000
        270.0000    -1604.14  0.0711   20.000
        271.0000    -1604.14  0.0711   20.000
        272.0000    -1604.14  0.0711   20.000
        273.0000    -1604.14  0.0711   20.000
        274.0000    -1604.14  0.0711   20.000
