date,pet_mm,temp.mean.agr_c,min_temp_c,max_temp_c,precip_mm
2025-05-24,4.407494388,9.7015625,-2.24,20.7,0
2025-05-25,4.860336334,13.89708333,-0.33,25.93,0
2025-05-26,5.212297489,16.71635417,3.09,27.13,8.128
2025-05-27,4.472681024,14.8784375,5.79,22.92,0
2025-05-28,5.363532204,15.8590625,2.83,25.59,0
2025-05-29,5.642986813,18.52677083,4.54,29.7,0
2025-05-30,5.613559796,15.97739583,5.61,25.67,0
2025-05-31,5.950470168,17.499375,1.96,31.57,0
2025-06-01,4.709485457,15.8215625,5.57,21.84,0
2025-06-02,4.932848082,11.81041667,2.96,17.71,0
2025-06-03,3.350477149,8.421041667,-2.13,16.63,0
2025-06-04,3.769148181,9.2696875,-2.13,19.05,0
2025-06-05,4.504571905,10.6428125,-1.56,22.02,0
2025-06-06,3.911392512,12.44177083,-0.73,22.53,0
2025-06-07,4.664888703,16.42333333,3.88,25.47,0
2025-06-08,6.257327864,17.47083333,7.31,27.62,0
2025-06-09,6.127125307,18.12854167,3.8,30.58,0
2025-06-10,6.341537394,19.64645833,5.27,31.49,0
2025-06-11,3.089851117,15.64697917,6.08,24.81,0
2025-06-12,3.634099413,14.3690625,6.32,24.97,0.508
2025-06-13,3.510247568,13.61958333,3.95,22.42,0.762
2025-06-14,4.868022697,15.96947917,5,26.63,0
2025-06-15,4.871363851,15.7425,2.84,26.82,0
2025-06-16,2.317675687,12.75614583,6.25,21.52,1.016
2025-06-17,5.036140873,14.04641304,3.06,25.77,0
2025-06-18,5.568396481,16.18760417,3.02,27.72,0
2025-06-19,5.908792216,17.8815625,3.54,29.49,0.762
2025-06-20,2.446797595,12.35770833,7.41,19.84,13.716
2025-06-21,3.013566594,8.519375,2.21,14.01,1.016
2025-06-22,1.53096602,5.7315625,1.49,9.19,2.032
2025-06-23,3.310156078,8.858020833,-0.44,18.36,0
2025-06-24,4.640044758,12.6515625,0.3,24.56,0
2025-06-25,4.20175274,14.27697917,3.54,26.01,0
2025-06-26,3.311486737,14.90458333,7.56,24.75,1.27
2025-06-27,4.237165235,16.083125,7.67,24.29,0
2025-06-28,4.517834873,15.59364583,5.85,23.42,0
2025-06-29,5.309295173,14.61583333,1.64,25.71,0
2025-06-30,5.866572615,18.28166667,2.03,31.97,0
2025-07-01,6.176186431,20.24458333,6.38,33.22,0
2025-07-02,3.682568977,17.91166667,6.74,32.72,0.254
2025-07-03,5.822777432,19.66083333,8.56,29.98,0
2025-07-04,2.844576916,13.01822917,4.63,21.46,2.286
2025-07-05,3.655061404,12.655,3.58,20.71,0
2025-07-06,5.211061725,15.0659375,2.54,26.19,0
2025-07-07,5.761713508,17.94125,4.31,29.83,0
2025-07-08,5.951872457,20.42114583,5.6,33.09,0
