 ******* Program HYDRUS
 ******* 
 None                                                                    
 Date:  18.12.    Time:  19:54: 2
 Units: L = mm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency
      344  0.1360000E+03  0.50000E+00    2     1016    -4    -5     T
      346  0.1370000E+03  0.50000E+00    2     1020    -4    -5     T
      348  0.1380000E+03  0.50000E+00    2     1024    -4    -5     T
      350  0.1390000E+03  0.50000E+00    2     1028    -4    -5     T
      352  0.1400000E+03  0.50000E+00    2     1032    -4    -5     T
      354  0.1410000E+03  0.50000E+00    2     1036    -4    -5     T
      356  0.1420000E+03  0.50000E+00    2     1040    -4    -5     T
      358  0.1430000E+03  0.50000E+00    2     1044    -4    -5     T
      360  0.1440000E+03  0.50000E+00    2     1048    -4    -5     T
      362  0.1450000E+03  0.50000E+00    2     1052    -4    -5     T
      364  0.1460000E+03  0.50000E+00    2     1056    -4    -5     T
      366  0.1470000E+03  0.50000E+00    2     1060    -4    -5     T
      368  0.1480000E+03  0.50000E+00    2     1064    -4    -5     T
      370  0.1490000E+03  0.50000E+00    2     1068    -4    -5     T
      372  0.1500000E+03  0.50000E+00    2     1072    -4    -5     T
      374  0.1510000E+03  0.50000E+00    2     1076    -4    -5     T
      376  0.1520000E+03  0.50000E+00    2     1080    -4    -5     T
      378  0.1530000E+03  0.50000E+00    2     1084    -4    -5     T
      380  0.1540000E+03  0.50000E+00    2     1088    -4    -5     T
      382  0.1550000E+03  0.50000E+00    2     1092    -4    -5     T
      384  0.1560000E+03  0.50000E+00    2     1096    -4    -5     T
      386  0.1570000E+03  0.50000E+00    2     1100    -4    -5     T
      388  0.1580000E+03  0.50000E+00    2     1104    -4    -5     T
      390  0.1590000E+03  0.50000E+00    2     1108    -4    -5     T
      392  0.1600000E+03  0.50000E+00    2     1112    -4    -5     T
      394  0.1610000E+03  0.50000E+00    2     1116    -4    -5     T
      396  0.1620000E+03  0.50000E+00    2     1120    -4    -5     T
      398  0.1630000E+03  0.50000E+00    2     1124    -4    -5     T
      400  0.1640000E+03  0.50000E+00    2     1128    -4    -5     T
      402  0.1650000E+03  0.50000E+00    2     1132    -4    -5     T
      404  0.1660000E+03  0.50000E+00    2     1136    -4    -5     T
