

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

   108.00000  0.111900E+02  0.501904E+01  0.105940E+02  0.120220E+01 -0.117183E+00  -1583.320  -1250.503   -988.912     108
   109.00000  0.111900E+02  0.514350E+01  0.105940E+02  0.123866E+01 -0.117264E+00  -1579.931  -1219.571   -992.892     109
   110.00000  0.111900E+02  0.528066E+01  0.105940E+02  0.128093E+01 -0.117345E+00  -1574.795  -1206.900   -996.839     110
   111.00000  0.111900E+02  0.539496E+01  0.105940E+02  0.131871E+01 -0.117425E+00  -1570.722  -1195.670  -1000.755     111
   112.00000  0.111900E+02  0.561086E+01  0.105940E+02  0.137779E+01 -0.117505E+00  -1568.530  -1214.039  -1004.640     112
   113.00000  0.111900E+02  0.586994E+01  0.105940E+02  0.143475E+01 -0.117584E+00  -1572.789  -1246.796  -1008.493     113
   114.00000  0.111900E+02  0.615188E+01  0.105940E+02  0.148841E+01 -0.117662E+00  -1578.794  -1271.436  -1012.316     114
   115.00000  0.111900E+02  0.651256E+01  0.105940E+02  0.154234E+01 -0.117740E+00  -1583.808  -1293.787  -1016.108     115
   116.00000  0.111900E+02  0.688086E+01  0.105940E+02  0.159236E+01 -0.117817E+00  -1587.629  -1311.302  -1019.870     116
   117.00000  0.111900E+02  0.711708E+01  0.105940E+02  0.163192E+01 -0.117893E+00  -1590.235  -1311.941  -1023.601     117
   118.00000  0.111900E+02  0.749554E+01  0.105940E+02  0.168106E+01 -0.117969E+00  -1591.235  -1320.104  -1027.304     118
   119.00000  0.111900E+02  0.785876E+01  0.105940E+02  0.172636E+01 -0.118044E+00  -1592.419  -1331.681  -1030.976     119
   120.00000  0.111900E+02  0.827024E+01  0.105940E+02  0.177189E+01 -0.118119E+00  -1593.662  -1341.901  -1034.618     120
   121.00000  0.111900E+02  0.866648E+01  0.105940E+02  0.191107E+01 -0.118193E+00  -1595.125   -943.208  -1038.232     121
   122.00000  0.111900E+02  0.901954E+01  0.105940E+02  0.204047E+01 -0.118266E+00  -1596.482  -1025.652  -1041.816     122
   123.00000  0.111900E+02  0.938276E+01  0.105940E+02  0.215002E+01 -0.118339E+00  -1598.415  -1091.634  -1045.372     123
   124.00000  0.111900E+02  0.978154E+01  0.105940E+02  0.224776E+01 -0.118411E+00  -1599.986  -1144.703  -1048.900     124
   125.00000  0.111900E+02  0.100203E+02  0.105940E+02  0.230651E+01 -0.118483E+00  -1600.723  -1170.427  -1052.399     125
   126.00000  0.111900E+02  0.101143E+02  0.105940E+02  0.233248E+01 -0.118554E+00  -1600.736  -1162.924  -1055.870     126
   127.00000  0.111900E+02  0.104038E+02  0.105940E+02  0.240433E+01 -0.118624E+00  -1600.542  -1170.096  -1059.314     127
   128.00000  0.111900E+02  0.107747E+02  0.105940E+02  0.248088E+01 -0.118694E+00  -1600.933  -1201.798  -1062.730     128
   129.00000  0.111900E+02  0.110490E+02  0.105940E+02  0.253603E+01 -0.118764E+00  -1601.313  -1222.971  -1066.118     129
   130.00000  0.111900E+02  0.113741E+02  0.105940E+02  0.259512E+01 -0.118832E+00  -1601.590  -1238.651  -1069.480     130
   131.00000  0.111900E+02  0.116027E+02  0.105940E+02  0.263832E+01 -0.118901E+00  -1601.807  -1245.774  -1072.815     131
   132.00000  0.111900E+02  0.119024E+02  0.105940E+02  0.269066E+01 -0.118969E+00  -1601.928  -1254.055  -1076.123     132
   133.00000  0.111900E+02  0.120853E+02  0.105940E+02  0.272531E+01 -0.119036E+00  -1602.030  -1255.380  -1079.405     133
   134.00000  0.111900E+02  0.122987E+02  0.105940E+02  0.276560E+01 -0.119102E+00  -1602.025  -1254.531  -1082.660     134
   135.00000  0.111900E+02  0.127279E+02  0.105940E+02  0.282866E+01 -0.119168E+00  -1602.054  -1273.127  -1085.890     135
   136.00000  0.111900E+02  0.132461E+02  0.105940E+02  0.289018E+01 -0.119234E+00  -1602.264  -1300.110  -1089.093     136
   137.00000  0.111900E+02  0.134315E+02  0.105940E+02  0.291787E+01 -0.119299E+00  -1602.518  -1304.113  -1092.271     137
   138.00000  0.111900E+02  0.137668E+02  0.105940E+02  0.296286E+01 -0.119364E+00  -1602.683  -1304.777  -1095.423     138
   139.00000  0.111900E+02  0.141935E+02  0.105940E+02  0.301219E+01 -0.119428E+00  -1602.820  -1317.515  -1098.550     139
   140.00000  0.111900E+02  0.145999E+02  0.105940E+02  0.305642E+01 -0.119491E+00  -1602.979  -1329.635  -1101.652     140
   141.00000  0.111900E+02  0.150444E+02  0.105940E+02  0.310041E+01 -0.119554E+00  -1603.150  -1339.784  -1104.730     141
   142.00000  0.111900E+02  0.153949E+02  0.105940E+02  0.313695E+01 -0.119617E+00  -1603.318  -1344.604  -1107.782     142
   143.00000  0.111900E+02  0.158039E+02  0.105940E+02  0.317652E+01 -0.119679E+00  -1603.465  -1349.475  -1110.810     143
   144.00000  0.111900E+02  0.160833E+02  0.105940E+02  0.320699E+01 -0.119740E+00  -1603.592  -1349.568  -1113.815     144
   145.00000  0.111900E+02  0.162306E+02  0.105940E+02  0.322653E+01 -0.119801E+00  -1603.678  -1339.243  -1116.795     145
   146.00000  0.111900E+02  0.163500E+02  0.105940E+02  0.324466E+01 -0.119862E+00  -1603.669  -1323.836  -1119.751     146
   147.00000  0.111900E+02  0.164592E+02  0.105940E+02  0.326314E+01 -0.119922E+00  -1603.511  -1309.436  -1122.683     147
   148.00000  0.111900E+02  0.168377E+02  0.105940E+02  0.331194E+01 -0.119981E+00  -1603.258  -1319.268  -1125.592     148
   149.00000  0.111900E+02  0.172796E+02  0.105940E+02  0.335837E+01 -0.120040E+00  -1603.173  -1341.233  -1128.478     149
   150.00000  0.111900E+02  0.177292E+02  0.105940E+02  0.339967E+01 -0.120099E+00  -1603.233  -1358.016  -1131.340     150
   151.00000  0.111900E+02  0.180645E+02  0.105940E+02  0.343179E+01 -0.120157E+00  -1603.364  -1365.421  -1134.180     151
   152.00000  0.111900E+02  0.183261E+02  0.105940E+02  0.349715E+01 -0.120215E+00  -1603.497  -1082.546  -1136.997     152
   153.00000  0.111900E+02  0.184302E+02  0.105940E+02  0.353060E+01 -0.120272E+00  -1603.578  -1091.235  -1139.792     153
   154.00000  0.111900E+02  0.186207E+02  0.105940E+02  0.358943E+01 -0.120329E+00  -1603.543  -1100.201  -1142.564     154
   155.00000  0.111900E+02  0.190373E+02  0.105940E+02  0.369169E+01 -0.120385E+00  -1603.428  -1132.607  -1145.313     155
   156.00000  0.111900E+02  0.194132E+02  0.105940E+02  0.377453E+01 -0.120441E+00  -1603.375  -1170.330  -1148.042     156
   157.00000  0.111900E+02  0.197358E+02  0.105940E+02  0.384052E+01 -0.120496E+00  -1603.407  -1198.641  -1150.748     157
   158.00000  0.111900E+02  0.201549E+02  0.105940E+02  0.391166E+01 -0.120551E+00  -1603.499  -1225.101  -1153.432     158
   159.00000  0.111900E+02  0.204394E+02  0.105940E+02  0.396082E+01 -0.120606E+00  -1603.630  -1243.592  -1156.095     159
   160.00000  0.111900E+02  0.206324E+02  0.105940E+02  0.399544E+01 -0.120660E+00  -1603.781  -1250.780  -1158.737     160
   161.00000  0.111900E+02  0.208788E+02  0.105940E+02  0.403703E+01 -0.120714E+00  -1603.934  -1256.810  -1161.358     161
   162.00000  0.111900E+02  0.212903E+02  0.105940E+02  0.409385E+01 -0.120767E+00  -1604.082  -1271.443  -1163.957     162
   163.00000  0.111900E+02  0.217043E+02  0.105940E+02  0.414589E+01 -0.120820E+00  -1604.229  -1288.778  -1166.536     163
   164.00000  0.111900E+02  0.221691E+02  0.105940E+02  0.419691E+01 -0.120872E+00  -1604.383  -1304.999  -1169.094     164
   165.00000  0.111900E+02  0.226187E+02  0.105940E+02  0.424297E+01 -0.120924E+00  -1604.544  -1318.847  -1171.632     165
   166.00000  0.111900E+02  0.228879E+02  0.105940E+02  0.427419E+01 -0.120976E+00  -1604.709  -1325.005  -1174.149     166
   167.00000  0.111900E+02  0.233197E+02  0.105940E+02  0.431599E+01 -0.121027E+00  -1604.877  -1331.912  -1176.646     167
   168.00000  0.111900E+02  0.237134E+02  0.105940E+02  0.435350E+01 -0.121077E+00  -1605.042  -1340.146  -1179.124     168
   169.00000  0.111900E+02  0.240538E+02  0.105940E+02  0.438650E+01 -0.121128E+00  -1605.204  -1345.559  -1181.581     169
   170.00000  0.111900E+02  0.245237E+02  0.105940E+02  0.442532E+01 -0.121178E+00  -1605.362  -1352.777  -1184.019     170
   171.00000  0.111900E+02  0.249682E+02  0.105940E+02  0.446097E+01 -0.121227E+00  -1605.516  -1360.578  -1186.437     171
   172.00000  0.111900E+02  0.253162E+02  0.105940E+02  0.449063E+01 -0.121276E+00  -1605.666  -1364.983  -1188.836     172
   173.00000  0.111900E+02  0.257226E+02  0.105940E+02  0.452266E+01 -0.121325E+00  -1605.812  -1369.076  -1191.215     173
   174.00000  0.111900E+02  0.260426E+02  0.105940E+02  0.454962E+01 -0.121373E+00  -1605.955  -1371.782  -1193.576     174
   175.00000  0.111900E+02  0.264439E+02  0.105940E+02  0.458035E+01 -0.121421E+00  -1606.094  -1375.177  -1195.917     175
   176.00000  0.902888E+01  0.267843E+02  0.843295E+01  0.474709E+01 -0.121469E+00    -47.274   -753.026  -1198.247     176
   177.00000  0.736767E+01  0.272237E+02  0.677175E+01  0.512956E+01 -0.121516E+00    -42.842   -392.654  -1200.555     177
   178.00000  0.539717E+01  0.275641E+02  0.480125E+01  0.546671E+01 -0.121563E+00    -28.846   -135.486  -1202.846     178
   179.00000  0.539717E+01  0.279146E+02  0.480125E+01  0.581723E+01 -0.121610E+00   -103.740   -123.880  -1205.117     179
   180.00000  0.209007E+01  0.283845E+02  0.149415E+01  0.628713E+01 -0.121656E+00    -11.824    -33.501  -1207.369     180
   181.00000  0.209007E+01  0.288493E+02  0.149415E+01  0.675195E+01 -0.121701E+00    -80.108    -75.469  -1209.604     181
   182.00000 -0.121193E+01  0.294386E+02 -0.180785E+01  0.734123E+01 -0.121747E+00    -10.144    -20.768  -1211.821     182
   183.00000 -0.121193E+01  0.298882E+02 -0.180785E+01  0.779081E+01 -0.121792E+00    -70.050    -60.658  -1214.020     183
   184.00000 -0.368923E+01  0.302641E+02 -0.428515E+01  0.816673E+01 -0.121836E+00    -14.972    -23.982  -1216.201     184
   185.00000 -0.368923E+01  0.305638E+02 -0.428515E+01  0.846645E+01 -0.121881E+00    -64.831    -55.131  -1218.363     185
   186.00000 -0.368923E+01  0.309575E+02 -0.428515E+01  0.886015E+01 -0.121925E+00    -90.020    -76.208  -1220.509     186
   187.00000 -0.368923E+01  0.313512E+02 -0.428515E+01  0.925385E+01 -0.121968E+00   -114.212    -95.361  -1222.635     187
   188.00000 -0.368923E+01  0.317627E+02 -0.428515E+01  0.966533E+01 -0.122011E+00   -140.285   -114.345  -1224.744     188
   189.00000 -0.368923E+01  0.321894E+02 -0.428515E+01  0.100921E+02 -0.122054E+00   -170.708   -134.575  -1226.836     189
   190.00000 -0.368923E+01  0.326542E+02 -0.428515E+01  0.105569E+02 -0.122097E+00   -209.680   -158.186  -1228.912     190
   191.00000 -0.368923E+01  0.330733E+02 -0.428515E+01  0.109760E+02 -0.122139E+00   -257.201   -184.140  -1230.971     191
   192.00000 -0.368923E+01  0.334035E+02 -0.428515E+01  0.113062E+02 -0.122181E+00   -303.249   -207.674  -1233.080     192
   193.00000 -0.368923E+01  0.338379E+02 -0.428515E+01  0.117405E+02 -0.122222E+00   -364.874   -236.739  -1235.884     193
   194.00000 -0.504943E+01  0.342316E+02 -0.564535E+01  0.121342E+02 -0.122264E+00    -61.044   -142.958  -1238.682     194
