,date,pet_mm,temp.mean.agr_c,min_temp_c,max_temp_c,precip_mm
63,2025-03-04,0.852616758,-0.219166667,-4.61,4.57,0.540000292
64,2025-03-05,1.189119199,0.5484375,-4.76,5.59,0.230000124
65,2025-03-06,1.024279019,-1.5071875,-6.23,3.77,0
66,2025-03-07,1.34340043,-2.470625,-11.12,6.03,0
67,2025-03-08,1.46528805,-0.193541667,-7.25,10.46,0
68,2025-03-09,1.562036805,1.920208333,-6.33,12.84,0
69,2025-03-10,1.289855722,4.792604167,0.13,8.9,0
70,2025-03-11,1.392085809,2.714895833,-1.95,9.15,0
71,2025-03-12,1.394305509,3.18,-2.39,11.61,0
72,2025-03-13,1.079168924,2.902291667,-1.72,7.91,1.00000054
73,2025-03-14,1.282816824,-1.4521875,-6.82,3.53,0
74,2025-03-15,1.188324464,0.2534375,-4.44,6.14,0.180000097
75,2025-03-16,1.267774685,1.9653125,-2.68,9.34,3.990002155
76,2025-03-17,1.112554692,-0.4534375,-4.67,4.32,3.450001863
77,2025-03-18,1.112191884,-2.573020833,-10.21,1.95,0
78,2025-03-19,2.077412324,0.243125,-3.66,7.41,0
79,2025-03-20,1.428566139,1.048229167,-3.39,6.16,0
80,2025-03-21,1.850231111,2.607291667,-3.79,10.58,0
81,2025-03-22,1.681680979,1.562395833,-2.35,4.82,0.590000319
82,2025-03-23,1.734430647,2.358645833,-6.48,9.8,0
83,2025-03-24,2.115761512,10.45135417,7.71,13.11,0
84,2025-03-25,2.938195713,9.833854167,0.13,18.67,0.090000049
85,2025-03-26,2.891090637,8.567916667,-4.26,21.86,0
86,2025-03-27,2.332357398,7.7603125,-2.76,20.23,0
87,2025-03-28,1.955632481,6.108854167,-1.63,13.11,1.020000551
88,2025-03-29,1.616182888,4.058645833,0.54,10.73,-494.530267
89,2025-03-30,1.680265914,2.700208333,-1.02,6.43,0
90,2025-03-31,1.3370583,2.137604167,-4.03,8.88,4.2600023
91,2025-04-01,0.869364041,-0.145833333,-1.08,1.55,6.680003607
92,2025-04-02,1.66552055,1.46875,-1.17,6.03,2.090001129
93,2025-04-03,1.209323035,-1.942083333,-7.18,5.67,3.350001809
94,2025-04-04,1.545870382,-3.9821875,-15.67,5.65,0.420000227
95,2025-04-05,2.430917435,0.572708333,-9.16,12.37,0
96,2025-04-06,2.959750574,4.512083333,-7.02,17.23,0
97,2025-04-07,1.880711352,5.364166667,-3.47,18.08,1.690000913
98,2025-04-08,2.518241281,5.525520833,0.73,11.08,2.190001183
99,2025-04-09,2.286323834,4.688854167,-2.51,11.1,2.060001112
100,2025-04-10,3.272226601,6.826041667,-6.23,20.9,0
101,2025-04-11,2.34190965,7.8090625,-3.45,15.93,0
102,2025-04-12,1.596355005,4.578020833,-0.44,7.64,3.960002138
103,2025-04-13,2.575325556,2.596145833,-5.61,8.7,0
104,2025-04-14,3.028173271,2.996145833,-8.88,15.64,0
105,2025-04-15,3.195480031,6.257916667,-7.06,20,0
106,2025-04-16,2.013653249,3.994479167,-4.29,15.4,0
107,2025-04-17,1.966521134,1.438020833,-3.23,5.96,0
108,2025-04-18,2.768433462,0.242083333,-10.36,10.5,0
109,2025-04-19,2.351708794,4.166979167,-7.79,13.91,0.860000464
110,2025-04-20,2.400537422,5.583645833,-0.91,12.08,0.24000013
111,2025-04-21,2.12588861,3.807083333,-4.65,9.07,0.660000356
112,2025-04-22,2.55030771,2.6921875,-6.06,9.29,0
113,2025-04-23,3.086275871,2.663020833,-9.9,14.29,0
114,2025-04-24,3.167134969,5.8228125,-7.75,15.51,0
115,2025-04-25,4.03106716,8.986145833,-3.48,17.55,0
116,2025-04-26,2.897547161,7.8334375,-2.83,17.41,0.900000486
117,2025-04-27,2.638558782,8.002291667,-2.81,17.34,0
118,2025-04-28,3.898937829,9.611979167,3.75,16.99,0
119,2025-04-29,2.189134038,8.209166667,-0.27,13.21,0
120,2025-04-30,3.041974467,7.6025,-2.36,13.7,1.180000637
121,2025-05-01,3.886182556,6.770833333,-5.58,18.93,0
122,2025-05-02,4.139795978,9.509166667,-5.39,23.7,0
123,2025-05-03,4.696839647,13.02354167,-3.35,26.47,0
124,2025-05-04,1.758426174,7.728333333,3.81,12.97,6.570003548
125,2025-05-05,1.51362053,4.48125,-3.08,8.62,3.550001917
126,2025-05-06,2.816353006,5.5034375,-5.46,12.97,0
127,2025-05-07,4.359032586,9.6925,-3.43,22.77,0
128,2025-05-08,4.204718583,10.35395833,-0.81,20.93,0
129,2025-05-09,4.657340522,12.238125,-1.49,25.61,0
130,2025-05-10,3.659021853,13.75302083,1.21,28.68,0
