,thetar,thetas,alpha,n,ksat,l,thetar_macro,thetas_macro,alpha_macro,n_macro,ksat_macro,l_macro,w,beta,gamma,a,ka,nse
50,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.022026619658717394,0.4042426366580151,0.3507950239319071,2.284090271248179,635.1194793549095,0.5,0.2367394529817567,2.8566556885406076,0.4,9.295806830930598,4.856394853785901,-1099.3228090266678
51,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.0937885917854585,0.5040590866518814,0.23829369528946817,5.083347242120645,106.0116699056943,0.5,0.0033541377566092814,8.497085507712853,0.4,2.4479272205696585,0.4646863799638678,-1099.3228090266678
52,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.04131401656737531,0.44609911080340436,0.34599864131379127,2.012906965251145,3.1835201421590913,0.5,0.18597378030042466,15.849047169697377,0.4,9.645990839272311,4.22136273683639,-1099.3228090266678
53,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.046941555328845384,0.7494120657864785,0.03455053635315024,6.125711877190491,67.91451139718454,0.5,0.2484722227080905,17.157027922814045,0.4,5.303658216134193,2.6179826267262962,-1099.3228090266678
54,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.055303952643497536,0.42780323009563276,0.08251558702357585,2.5083549768263946,63.517446810511046,0.5,0.016954733368632905,13.642128854298988,0.4,3.947992072863266,6.668733255209925,-1099.3228090266678
55,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.06781978150505626,0.5597199538655816,0.11021243646536401,1.7063050188797435,942.7525750827004,0.5,0.08661081722449092,3.0222248371696434,0.4,0.38325807010405366,9.594843939401418,-1099.3228090266678
56,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.019691382223246533,0.4566764505717081,0.10272681318299375,6.004151197626405,409.8128089141023,0.5,0.2076900765081764,19.164349815360847,0.4,7.280115410523841,9.114360434693522,-1099.3228090266678
57,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.05275358443527684,0.3646074897565065,0.013565651239023497,5.206449494223094,111.7133582758316,0.5,0.07216373828046692,7.466233517988904,0.4,2.665647847822145,5.994826691535301,-1099.3228090266678
58,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.06162563717659827,0.4178492083300485,0.715141260531358,4.951924961995216,977.6476595688525,0.5,0.23927315819201123,6.267288503739483,0.4,7.969710265086211,7.196997945378463,-1099.3228090266678
59,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.041629224169395955,0.23877508204202685,0.3173959981278908,3.423916199944421,622.5005714309866,0.5,0.09060711087018093,7.109366570728747,0.4,6.765763438290305,3.6207882270971474,-1099.3228090266678
60,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.010707389172302911,0.5522119231677495,0.22769976026297814,2.4121091057232986,567.8908379266313,0.5,0.06410256998347041,11.764679061198269,0.4,1.8373999522798758,9.844757730627911,-1099.3228090266678
61,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.08459187662553518,0.706227519561019,0.5043563805840399,5.802779250573692,916.8244839417142,0.5,0.10375814138042466,13.707034579205475,0.4,8.599514305357678,2.2539605612229945,-1099.3228090266678
62,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.0225673305758799,0.5794305007033349,0.2253898026325388,5.57697590599159,475.3847951174151,0.5,0.2163296701525517,9.139194682632889,0.4,4.95292946589753,0.9075619567484614,-1099.3228090266678
63,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.09718285459511232,0.6892677669119508,0.4779512153341774,5.858326737868254,886.5809030479403,0.5,0.16115547211721667,19.882796271301963,0.4,4.927662014310485,5.21167050963776,-1099.3228090266678
64,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.010577932644511815,0.7258788653731567,0.14199815277398956,3.2256722779692604,597.9815723412312,0.5,0.21337358506501655,9.44442322603732,0.4,0.6757289192872493,7.474903690229319,-1099.3228090266678
